price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax
1599900.0,14.285451685256804,1381.6062176165804,Townhouse,V5Z2B4,V5Z,cluster-11,1158.0,3.0,2.0,49.2497582,-123.1177527,-6063.519550602397,2425.5386827584675,15157.981029898356,
1649000.0,14.315679601541737,1175.3385602280828,Townhouse,V6J1T8,V6J,cluster-01,1403.0,2.0,3.0,49.2648148,-123.1427016,-6066.602388295664,2427.0219772782993,15164.12495734664,
2349900.0,14.66988333202344,1544.9704142011835,Townhouse,V5Y2H9,V5Y,cluster-11,1521.0,4.0,3.0,49.2492201,-123.1089684,-6063.020681015545,2425.485680458244,15155.818100512197,
5490000.0,15.518438813485714,2098.623853211009,Townhouse,V6M3E8,V6M,cluster-06,2616.0,4.0,3.0,49.2411214,-123.1429113,-6063.695044872731,2424.6880367295375,15164.176603439666,
1249900.0,14.038574106078311,1351.2432432432431,Townhouse,V5M2E1,V5M,cluster-02,925.0,2.0,2.0,49.258299,-123.0553918,-6061.499282846548,2426.3800203734013,15142.629451051504,
