price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax,ageYears,h3Cell,assessedValue,salePrice,saleDate,timeAdjustmentFactor,bedroomsImputed
504067.57057123806,13.130465606660842,298.79524040974394,Detached,,,cluster-03,1687.0,3.0,3,44.753214,-63.103279,-2824.074549188706,2002.850163329796,3982.0238205518417,,22.0,882b0cca27fffff,538700,391000.0,2022-01-19,1.2891753723049566,True
751167.7282377919,13.52938424567354,247.17595532668375,Detached,,,cluster-03,3039.0,3.0,3,44.758446,-63.095044,-2824.036119741624,2003.318488334916,3980.984577361936,,11.0,882b0cca21fffff,718600,610000.0,2022-02-14,1.2314225053078556,False
762986.9214437366,13.544996169154729,375.1164805524762,Detached,,,cluster-06,2034.0,4.0,3,44.842885,-63.797177,-2860.849471535645,2010.8843351232251,4070.0797931693287,,5.0,882b0e9345fffff,687300,619598.0,2022-02-18,1.2314225053078556,False
252441.6135881104,12.438935267644592,110.0442953740673,Detached,,,cluster-05,2294.0,5.0,2,44.924628,-62.521071,-2808.735856836588,2018.222200938384,3908.884318987041,,32.0,882b2a6ad1fffff,300300,205000.0,2022-02-28,1.2314225053078556,False
220424.62845010616,12.30331109434694,266.2133193841862,Detached,,,cluster-12,828.0,3.0,1,45.04303,-63.018895,-2838.56197805185,2028.8745515809,3971.381127021025,,,882b01ae61fffff,196600,179000.0,2022-02-28,1.2314225053078556,True
725000.0,13.493926933836812,721.3930348258707,Detached,,,cluster-10,1005.0,2.0,1,44.485389,-63.86805,-2841.1950489214496,1978.9498344813207,4079.1278108024994,,14.0,882b0e8439fffff,680900,625000.0,2022-03-21,1.16,False
208800.0,12.24913213499062,275.098814229249,Detached,,,cluster-03,759.0,1.0,1,44.796189,-63.163151,-2829.468450031539,2006.6985489237209,3989.5836442488007,,2.0,882b0ccb67fffff,517400,180000.0,2022-03-31,1.16,False
497142.8571428571,13.116632702695345,238.0952380952381,Detached,,,cluster-03,2088.0,2.0,1,44.702759,-63.029501,-2817.592593093259,1998.3366622120811,3972.7179963090016,,33.0,882b0ccaddfffff,472900,450000.0,2022-04-07,1.1047619047619048,False
342476.1904761905,12.74395741741017,67.73658830620856,Detached,,,cluster-07,5056.0,5.0,6,44.668043,-63.976626,-2857.710681162918,1995.234065449849,4093.008674343877,,3.0,882b0e8159fffff,2181900,310000.0,2022-04-12,1.1047619047619048,False
198857.14285714287,12.200341970821189,194.95798319327733,Detached,,,cluster-12,1020.0,3.0,1,44.960129,-63.236873,-2843.1379676366173,2021.4131996966412,3998.902106818129,,,882b0132b9fffff,271500,180000.0,2022-04-29,1.1047619047619048,False
1098028.380952381,13.909026748579477,802.6523252575885,Detached,,,cluster-08,1368.0,3.0,2,44.656472,-63.338225,-2828.4616712422003,1994.200491486784,4011.7307461506257,,27.0,882b012491fffff,1020700,993905.0,2022-05-16,1.1047619047619048,False
450485.4368932039,13.018081028966847,383.0658476983026,Detached,,,cluster-12,1176.0,3.0,2,45.118433,-63.01011,-2842.91742635763,2035.6729963754892,3970.2739622121,,29.0,882b01a111fffff,462300,400000.0,2022-07-28,1.1262135922330097,False
415983.6065573771,12.938401131152917,364.2588498751113,Detached,,,cluster-12,1142.0,3.0,1,44.943344,-63.245064,-2842.444667654016,2019.904169902336,3999.938120364096,,53.0,882b013765fffff,401800,350000.0,2022-08-05,1.1885245901639343,True
237704.9180327869,12.378785343217492,109.79441941468215,Detached,,,cluster-07,2165.0,3.0,3,44.670728,-63.959455,-2857.1154173332397,1995.4739400499836,4090.811883897025,,28.0,882b0e8333fffff,558600,200000.0,2022-08-31,1.1885245901639343,False
294603.1746031746,12.593384558930795,210.4308390022676,Detached,,,cluster-03,1400.0,2.0,3,44.794792,-63.172314,-2829.790665788688,2006.573390323264,3990.741256114596,,3.0,882b0134dbfffff,655400,240000.0,2022-10-06,1.2275132275132274,False
777446.8085106383,13.563770507204076,575.886524822695,Detached,,,cluster-08,1350.0,3.0,2,44.785434,-63.375033,-2838.2783576693223,2005.7350985683563,4016.394807751089,,6.0,882b012707fffff,608200,630000.0,2022-12-05,1.2340425531914894,False
352658.44256647746,12.773255282705572,108.84519832298687,Detached,,,cluster-03,3240.0,3.0,2,44.795443,-63.170352,-2829.743902305936,2006.631713566249,3990.493371803904,,2.0,882b0134dbfffff,1038900,278875.0,2023-01-09,1.264575320722465,False
190652.2855675398,12.15820655350412,476.6307139188495,Detached,,,cluster-07,400.0,3.0,0,44.649344,-63.923627,-2854.148011650688,1993.563919630336,4086.230088835129,,,882b0e8043fffff,161500,160000.0,2023-04-28,1.1915767847971237,True
409687.1846619576,12.92314918323602,220.73662966700303,Detached,,,cluster-12,1856.0,4.0,2,44.919735,-63.225671,-2840.080386517185,2017.7825924702252,3997.4854734002406,,,882b013701fffff,493800,350000.0,2023-05-19,1.170534813319879,False
292633.7033299697,12.586676946614803,371.36256767762654,Detached,,,cluster-03,788.0,3.0,1,44.77254,-62.832376,-2813.1650677550397,2004.5803380516,3947.907473805375,,,882b0cd191fffff,226700,250000.0,2023-05-31,1.170534813319879,True
918517.1102661598,13.730515811951737,369.7733938269564,Detached,,,cluster-06,2484.0,4.0,4,44.839985,-63.78928,-2860.3103583608,2010.624254800225,4069.0722429184,,5.0,882b0e9341fffff,866500,833000.0,2023-06-07,1.102661596958175,False
330798.4790874525,12.709264644441092,289.1595096918291,Detached,,,cluster-12,1144.0,2.0,1,45.108483,-63.032902,-2843.318588307666,2034.775238561289,3973.146734541604,,10.0,882b01a133fffff,346500,300000.0,2023-06-09,1.102661596958175,False
231558.93536121675,12.35258970050236,68.30647060802853,Detached,,,cluster-07,3390.0,3.0,3,44.753973,-63.819682,-2856.1843250965862,2002.9180992847291,4072.951810581124,,21.0,882b0e903dfffff,247000,210000.0,2023-06-23,1.102661596958175,False
404676.8060836502,12.910844017839462,204.69236524210936,Detached,,,cluster-03,1977.0,4.0,2,44.776883,-62.843676,-2813.943927541908,2004.969251195689,3949.327613192976,,48.0,882b0cd195fffff,352400,367000.0,2023-07-13,1.102661596958175,False
346888.427184466,12.756758471733924,266.83725168035846,Detached,,,cluster-12,1300.0,1.0,1,44.951969,-63.26624,-2843.94205922656,2020.679516976961,4002.6171237376007,,38.0,882b0130ddfffff,325700,308013.0,2023-08-03,1.1262135922330097,False
129514.56310679612,11.771548610222116,208.8944566238647,Detached,,,cluster-07,620.0,2.0,0,44.679506,-64.053004,-2861.8565765360245,1996.2582564040365,4102.787321424016,,30.0,882b0e8a5bfffff,160000,115000.0,2023-08-25,1.1262135922330097,False
123883.49514563108,11.727096847651282,412.9449838187702,Detached,,,cluster-08,300.0,0.0,0,44.737319,-63.192132,-2827.046567574108,2001.427711307761,3993.245546705424,,4.0,882b0cc957fffff,137500,110000.0,2023-08-30,1.1262135922330097,False
202533.9693365566,12.21866290127046,255.08056591505868,Detached,,,cluster-05,794.0,3.0,1,44.871298,-62.569711,-2807.584148054878,2013.4333842048045,3914.968734623521,,,882b2a6f05fffff,169300,175000.0,2023-09-18,1.1573369676374663,True
1292077.734090279,14.071762127219351,475.3781214460188,Detached,,,cluster-04,2718.0,3.0,3,44.523233,-63.553952,-2829.627412966816,1982.3182767722888,4039.104814818305,,6.0,882b0c4a09fffff,1226300,1085000.0,2023-10-12,1.1908550544610867,False
510399.99999999994,13.142950011012717,470.8487084870848,Detached,,,cluster-01,1084.0,2.0,1,44.654302,-63.385648,-2830.441868257696,1994.006687107204,4017.740372379904,,75.0,882b0124b7fffff,466200,440000.0,2023-12-07,1.16,False
516934.04634581105,13.155670575422098,307.6988371106018,Detached,,,cluster-12,1680.0,3.0,2,44.935285,-63.242611,-2841.824749429135,2019.179838031225,3999.62784609732,,15.0,882b013767fffff,493400,450000.0,2024-01-04,1.1487423252129134,False
643295.7021192315,13.374359776386926,183.79877203406613,Detached,,,cluster-03,3500.0,3.0,3,44.747876,-63.131544,-2825.0025026005437,2002.372406511376,3985.591847823936,,25.0,882b0ccb13fffff,638000,560000.0,2024-01-22,1.1487423252129134,False
900970.8737864078,13.711228209526793,250.8969294866076,Detached,,,cluster-03,3591.0,3.0,4,44.75639,-63.07599,-2823.0536080761,2003.1344458321005,3978.5805144801,,11.0,882b0cca05fffff,849500,800000.0,2024-02-13,1.1262135922330097,False
365906.7961165048,12.81013392453392,407.015346069527,Detached,,,cluster-03,899.0,2.0,1,44.761797,-63.170087,-2827.606610766339,2003.618470669209,3990.4598915875695,,54.0,882b0ccb35fffff,246600,324900.0,2024-02-14,1.1262135922330097,False
