price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax,ageYears,h3Cell,assessedValue,salePrice,saleDate,timeAdjustmentFactor,bedroomsImputed
885740.5703771849,13.69417937675198,310.56822243239304,Detached,B2X2P5,B2X,cluster-11,2852.0,4.0,4,44.711453,-63.543185,-2841.108129597805,1999.114029371209,4037.736359944225,,52.0,882b012cc9fffff,700500,830000.0,2024-06-27,1.0671573137074517,False
652388.2896764253,13.388395199960948,317.4638879204016,Detached,B3M3B4,B3M,cluster-02,2055.0,3.0,3,44.678027,-63.666527,-2844.494812302229,1996.126096612729,4053.426660241729,,33.0,882b0e9665fffff,559900,547500.0,2023-04-27,1.1915767847971237,False
732038.8349514563,13.503588844748547,338.2804228056637,Detached,B3Z1G8,B3Z,cluster-07,2164.0,3.0,4,44.694223,-63.829061,-2852.7902862146034,1997.5735695737292,4074.1490281417214,,30.0,882b0e90b5fffff,595700,650000.0,2023-08-31,1.1262135922330097,False
628517.1102661598,13.351118530613489,314.1015043808894,Detached,B2T1E2,B2T,cluster-09,2001.0,3.0,3,44.924935,-63.526371,-2853.918087960885,2018.2497847542247,4035.5998124296407,,4.0,882b012169fffff,603000,570000.0,2023-06-01,1.102661596958175,False
847429.8642533937,13.649963358769078,653.8810680967545,Detached,B3A1H8,B3A,cluster-04,1296.0,3.0,2,44.679198,-63.594732,-2841.361622784936,1996.230733923204,4044.289938151824,,,882b012cbdfffff,718900,807250.0,2024-08-14,1.0497737556561086,True
