price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax,ageYears,h3Cell,assessedValue,salePrice,saleDate,timeAdjustmentFactor,bedroomsImputed
4480095.068330362,15.315154824775467,1463.127063465174,Detached,B3H1J2,B3H,cluster-04,3062.0,5.0,4,44.629516,-63.590894,-2838.030821227304,1991.793698394256,4043.801799719236,,57.0,882b0c592bfffff,3160900,3900000.0,2024-01-31,1.1487423252129134,False
4459433.962264151,15.310532401651397,1393.5731132075473,Detached,B3H1H9,B3H,cluster-04,3200.0,4.0,5,44.628059,-63.586452,-2837.7399314566683,1991.663650107481,4043.236877948304,,26.0,882b0c5907fffff,3204000,4075000.0,2024-04-15,1.0943396226415094,False
4190114.068441065,15.24823851549937,659.6527185832911,Detached,B3H2V7,B3H,cluster-04,6352.0,7.0,5,44.631304,-63.575101,-2837.439659561704,1991.953296740416,4041.7934671602006,,,882b0c5901fffff,4678600,3800000.0,2023-06-01,1.102661596958175,False
4094117.647058824,15.225061781248431,1492.025381581204,Detached,B3H1A5,B3H,cluster-04,2744.0,4.0,3,44.621504,-63.574912,-2836.808190107648,1991.078619222016,4041.769435807744,,67.0,882b0c5939fffff,3643400,3900000.0,2024-08-08,1.0497737556561086,False
3866666.666666667,15.167903367408485,669.7846295975519,Detached,,,cluster-04,5773.0,3.0,5,44.483166,-63.538787,-2826.406409559642,1978.7520573835557,4037.177453431369,,19.0,882b0c4acdfffff,3438600,3800000.0,2025-09-02,1.0175438596491229,False
3797531.073926215,15.149861696150968,800.6601463053373,Detached,B3H2V3,B3H,cluster-04,4743.0,5.0,6,44.627133,-63.572442,-2837.055824268786,1991.5809997996892,4041.455381843364,,7.0,882b0c5903fffff,3152600,3700000.0,2025-07-10,1.0263597497097878,False
3732162.702822849,15.132498436682573,610.0298631616295,Detached,B3V0C9,B3V,cluster-04,6118.0,3.0,5,44.496085,-63.525468,-2826.63462379278,1979.901580327225,4035.4850846190234,,,882b0c4125fffff,3391300,2895000.0,2022-01-21,1.2891753723049566,False
3591063.829787234,15.093959047984036,476.6477076967393,Detached,B4E0M8,B4E,cluster-06,7534.0,5.0,5,44.777409,-63.746921,-2854.421954107689,2005.016356753281,4063.669936980241,,8.0,882b0e923bfffff,3409900,2910000.0,2022-12-08,1.2340425531914894,False
3547572.8155339803,15.081774213678544,799.0028863815271,Detached,B3H1B3,B3H,cluster-04,4440.0,3.0,4,44.625481,-63.577018,-2837.155008795658,1991.433554481361,4042.037217772324,,51.0,882b0c5907fffff,2758500,3150000.0,2023-08-08,1.1262135922330097,False
3479999.9999999995,15.062542851750656,497.21388769824256,Detached,B3V0B1,B3V,cluster-04,6999.0,4.0,5,44.544818,-63.548449,-2830.754094887282,1984.240810653124,4038.4053703056006,,9.0,882b0c5993fffff,2590000,3300000.0,2026-01-20,1.0545454545454545,False
3468261.269549218,15.059163951285122,1048.1297278782768,Detached,B3H4L5,B3H,cluster-04,3309.0,5.0,3,44.628339,-63.588397,-2837.844537782583,1991.6886418989209,4043.484233029609,,43.0,882b0c593dfffff,2893000,3250000.0,2024-06-14,1.0671573137074517,False
3465298.40776699,15.05830930746565,804.5735796997886,Detached,B3L1C6,B3L,cluster-04,4307.0,4.0,5,44.639802,-63.61197,-2839.62574562994,1992.711922599204,4046.4827272809,,13.0,882b0c5925fffff,3328600,3076946.0,2022-07-22,1.1262135922330097,False
3418250.9505703426,15.04463956025813,736.6920152091255,Detached,B3H2V4,B3H,cluster-04,4640.0,5.0,5,44.627494,-63.571586,-2837.040572785484,1991.613220720036,4041.346546555396,,20.0,882b0c5903fffff,2811800,3100000.0,2023-07-14,1.102661596958175,False
3414953.271028037,15.043674367446274,621.6918388909589,Detached,B3H3L9,B3H,cluster-04,5493.0,5.0,7,44.632213,-63.586746,-2838.017191448898,1992.034437277369,4043.274266868516,,6.0,882b0c592bfffff,2722700,3150000.0,2024-12-16,1.0841121495327102,False
