price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax,ageYears,h3Cell,assessedValue,salePrice,saleDate,timeAdjustmentFactor,bedroomsImputed
562445.1428409637,13.240048884466669,284.4942553570884,Duplex,B3S1H5,B3S,cluster-02,1977.0,3.0,3,44.664011,-63.6698,-2843.7486475678,1994.8738786081212,4053.84343204,,29.0,882b0e9629fffff,589900,548000.0,2025-07-23,1.0263597497097878,False
987657.142857143,13.803090895104493,297.30799002322186,Duplex,B4A3V3,B4A,cluster-06,3322.0,6.0,6,44.737725,-63.650501,-2847.578609850225,2001.4640381756249,4051.3862775510006,,13.0,882b012de9fffff,838500,894000.0,2022-05-31,1.1047619047619048,False
461040.7616230705,13.041241738076629,303.31629054149374,Duplex,B2W1Y7,B2W,cluster-11,1520.0,3.0,2,44.68072,-63.519298,-2838.08796853456,1996.3667397184,4034.701218412804,,58.0,882b0c5b67fffff,370200,430000.0,2026-02-09,1.072187817728071,False
762155.0591327201,13.543905303643053,256.96394441426844,Duplex,B2Y3G8,B2Y,cluster-11,2966.0,6.0,3,44.676576,-63.546531,-2839.041421757856,1995.996443083776,4038.1616021339614,,62.0,882b0c5b25fffff,620500,700000.0,2025-01-17,1.0887929416181716,False
456792.2330097087,13.03198393413584,314.16247112084505,Duplex,B3T1H8,B3T,cluster-02,1454.0,3.0,2,44.650033,-63.740531,-2846.016812587523,1993.625446901089,4062.8552921619607,,36.0,882b0e9465fffff,425900,405600.0,2022-07-28,1.1262135922330097,True
