market,severity,rowIndex,reasons,price,livingAreaSqft,bedrooms,bathrooms,postalCode,propertyType,propertyTax,ageYears
vancouver,soft,1559,zero_beds,555000.0,517.0,0.0,1.0,V5W1S2,Condo,,
vancouver,soft,1561,zero_beds,658000.0,452.0,0.0,1.0,V6Z0G7,Condo,1998.0,
vancouver,soft,1656,zero_beds,650000.0,527.0,0.0,1.0,V5T1R8,Condo,,
vancouver,soft,1661,zero_beds,589000.0,498.0,0.0,1.0,V6B0E8,Condo,,
vancouver,soft,1715,zero_beds,679900.0,515.0,0.0,1.0,V5Z0K7,Condo,,
vancouver,soft,1726,zero_beds,448000.0,470.0,0.0,1.0,V5R6H4,Condo,,
vancouver,soft,1732,zero_beds,519000.0,445.0,0.0,1.0,V6E4R9,Condo,,
vancouver,soft,1757,zero_beds,689900.0,465.0,0.0,1.0,V5Z0K7,Condo,,
vancouver,soft,1809,zero_beds,465000.0,464.0,0.0,1.0,V6E4R9,Condo,1540.0,
vancouver,soft,1870,zero_beds,728800.0,452.0,0.0,1.0,V6Z0G7,Condo,2093.0,
vancouver,soft,1885,zero_beds,589000.0,625.0,0.0,1.0,V6A0B4,Condo,1757.0,
vancouver,soft,1978,zero_beds,499900.0,412.0,0.0,1.0,V6Z2X4,Condo,,
vancouver,soft,2100,zero_beds,589900.0,465.0,0.0,1.0,V5N4X7,Condo,,
vancouver,soft,2127,zero_beds,598000.0,457.0,0.0,1.0,V6B5T1,Condo,,
vancouver,soft,2163,tax_eq_1_suspicious,499800.0,479.0,1.0,1.0,V6A1X6,Condo,1.0,
vancouver,soft,2204,tax_eq_1_suspicious,489800.0,437.0,1.0,1.0,V6A1X6,Condo,1.0,
vancouver,soft,2205,tax_eq_1_suspicious,818800.0,880.0,2.0,2.0,V6A1X6,Condo,1.0,
vancouver,soft,2206,tax_eq_1_suspicious,1588800.0,1175.0,3.0,3.0,V6A1X6,Condo,1.0,
vancouver,soft,2207,tax_eq_1_suspicious,1588800.0,1211.0,3.0,3.0,V6A1X6,Condo,1.0,
vancouver,soft,2230,zero_beds,3303976.0,2288.0,0.0,1.0,V5R2B7,Detached,6873.0,
vancouver,soft,2327,zero_beds,497800.0,447.0,0.0,1.0,V6B0K9,Condo,,
vancouver,soft,2391,zero_beds,399900.0,439.0,0.0,1.0,V5T4J2,Condo,1128.0,
vancouver,soft,2468,zero_beds,2211220.0,1399.0,0.0,1.0,V5R2B7,Detached,5483.0,
vancouver,soft,2541,zero_beds,453900.0,461.0,0.0,1.0,V6Z2C1,Condo,,
vancouver,soft,2543,zero_beds,465000.0,451.0,0.0,1.0,V6Z2B8,Condo,,
vancouver,soft,2576,zero_beds,719000.0,468.0,0.0,1.0,V5Z2Z7,Condo,,
vancouver,soft,2615,zero_beds|zero_baths,5500000.0,5366.0,0.0,0.0,V5Y1W2,Detached,16114.0,
vancouver,soft,2695,zero_beds,525000.0,445.0,0.0,1.0,V6E4R9,Condo,,
vancouver,soft,2706,zero_beds|zero_baths,3000000.0,1756.0,0.0,0.0,V5K1Y3,Detached,,
vancouver,soft,2708,zero_beds|zero_baths,3000000.0,2558.0,0.0,0.0,V5K1Y3,Detached,,
vancouver,soft,2709,zero_beds|zero_baths,3000000.0,1560.0,0.0,0.0,V5K1Y3,Detached,,
vancouver,soft,2962,zero_beds,2680000.0,2100.0,0.0,1.0,V5X1V3,Detached,,
vancouver,soft,2975,zero_beds|zero_baths,3000000.0,1972.0,0.0,0.0,V5M3J8,Detached,,
vancouver,soft,2976,zero_beds|zero_baths,3000000.0,1725.0,0.0,0.0,V5M3J8,Detached,6280.0,
vancouver,soft,3013,zero_beds|zero_baths,3100000.0,2193.0,0.0,0.0,V5R4V2,Detached,,
vancouver,soft,3017,zero_beds|zero_baths,7800000.0,4639.0,0.0,0.0,V5Z3M4,Detached,20415.0,
vancouver,soft,3025,zero_beds,7980000.0,5158.0,0.0,1.0,V5Z3H2,Detached,,
vancouver,soft,3026,zero_beds,7980000.0,2619.0,0.0,1.0,V5Z3H2,Detached,,
vancouver,soft,3027,zero_beds,7980000.0,2567.0,0.0,1.0,V5Z3H2,Detached,,
vancouver,soft,3075,tax_eq_1_suspicious,2625000.0,1651.0,3.0,4.0,V6K2B3,Townhouse,1.0,
vancouver,soft,3185,zero_baths,5188000.0,3784.0,8.0,0.0,V6M1P2,Detached,13749.0,
vancouver,soft,3254,zero_beds,5200000.0,2955.0,0.0,3.0,V6N3Z3,Detached,,
vancouver,soft,3325,zero_beds,529800.0,459.0,0.0,1.0,V6K1R2,Condo,,
vancouver,soft,3359,zero_beds,529900.0,470.0,0.0,1.0,V6K4T3,Condo,,
vancouver,soft,3456,zero_beds|zero_baths,3508000.0,2968.0,0.0,0.0,V6K1M1,Detached,10185.0,
halifax,soft,180,missing_postal,504067.57057123806,1687.0,3.0,3.0,,Detached,,22.0
halifax,soft,381,missing_postal,751167.7282377919,3039.0,3.0,3.0,,Detached,,11.0
halifax,soft,434,missing_postal,762986.9214437366,2034.0,4.0,3.0,,Detached,,5.0
halifax,soft,504,missing_postal,252441.6135881104,2294.0,5.0,2.0,,Detached,,32.0
halifax,soft,531,missing_postal,220424.62845010616,828.0,3.0,1.0,,Detached,,
halifax,soft,717,missing_postal,725000.0,1005.0,2.0,1.0,,Detached,,14.0
halifax,soft,767,zero_baths,406000.0,462.0,3.0,0.0,B0J3H0,Detached,,
halifax,soft,832,missing_postal,208800.0,759.0,1.0,1.0,,Detached,,2.0
halifax,soft,943,missing_postal,497142.8571428571,2088.0,2.0,1.0,,Detached,,33.0
halifax,soft,1003,missing_postal,342476.1904761905,5056.0,5.0,6.0,,Detached,,3.0
halifax,soft,1046,age_gt_150,365871.73333333334,1260.0,3.0,2.0,B3K1N5,Detached,,156.0
halifax,soft,1218,age_gt_150,1002019.0476190476,2220.0,3.0,2.0,B2Y1R4,Detached,,161.0
halifax,soft,1273,missing_postal,198857.14285714287,1020.0,3.0,1.0,,Detached,,
halifax,soft,1462,missing_postal,1098028.380952381,1368.0,3.0,2.0,,Detached,,27.0
halifax,soft,2250,zero_baths,111580.95238095238,720.0,3.0,0.0,B0J2L0,Detached,,
halifax,soft,2401,zero_baths,197087.37864077667,540.0,3.0,0.0,B0J1W0,Detached,,64.0
halifax,soft,2852,missing_postal,450485.4368932039,1176.0,3.0,2.0,,Detached,,29.0
halifax,soft,3039,missing_postal,415983.6065573771,1142.0,3.0,1.0,,Detached,,53.0
halifax,soft,3105,zero_baths,231762.29508196723,440.0,3.0,0.0,B0J3H0,Detached,,64.0
halifax,soft,3435,missing_postal,237704.9180327869,2165.0,3.0,3.0,,Detached,,28.0
halifax,soft,3609,zero_baths,120519.48051948052,696.0,3.0,0.0,B0J1T0,Detached,,
halifax,soft,3889,missing_postal,294603.1746031746,1400.0,2.0,3.0,,Detached,,3.0
halifax,soft,4089,zero_baths,398941.7989417989,520.0,3.0,0.0,B3E1C8,Detached,,
halifax,soft,4323,zero_baths,552994.708994709,1714.0,3.0,0.0,B4E0H4,Townhouse,,12.0
halifax,soft,4539,missing_postal,777446.8085106383,1350.0,3.0,2.0,,Detached,,6.0
halifax,soft,4817,missing_postal,352658.44256647746,3240.0,3.0,2.0,,Detached,,2.0
halifax,soft,4841,age_gt_150,410986.97923480114,1350.0,3.0,1.0,B3V1G6,Detached,,177.0
halifax,soft,4868,zero_baths,164394.79169392044,630.0,3.0,0.0,B0J1N0,Detached,,49.0
halifax,soft,5160,zero_baths,124077.4414375869,990.0,3.0,0.0,B0J2L0,Detached,,
