price,logPrice,pricePerSqft,propertyType,postalCode,postalFsa,submarketCluster,livingAreaSqft,bedrooms,bathrooms,latitude,longitude,lat_x_lon,lat_sq,lon_sq,propertyTax
8888000.0,16.000212610301602,2454.570560618614,Detached,V6R1B9,V6R,cluster-07,3621.0,7.0,5.0,49.2750038,-123.2132789,-6071.33478600796,2428.0259994900143,15181.512097289187,
7980000.0,15.892448969425992,3046.9644902634595,Detached,V5Z3H2,V5Z,cluster-11,2619.0,0.0,1.0,49.2360276,-123.1197474,-6061.927281091428,2424.1864138279616,15158.472199839804,
1823999.0,14.41654190137065,903.417038137692,Detached,V5T2J8,V5T,cluster-09,2019.0,5.0,3.0,49.2598832,-123.0791624,-6062.8651641778315,2426.5360928776417,15148.480217085576,7447.0
3490000.0,15.06541229417861,1264.9510692279812,Detached,V6R2E2,V6R,cluster-07,2759.0,4.0,4.0,49.2650047,-123.2117511,-6070.02749703673,2427.040688091022,15181.13560912835,
4150000.0,15.23861889220688,1368.2822288163534,Detached,V6N2H7,V6N,cluster-03,3033.0,7.0,4.0,49.2426582,-123.1930424,-6066.352879521308,2424.8393866020274,15176.525695768196,17080.0
